 x, y, z
-12048, -4160, 07592
-12080, -4184, 07664
-12056, -4024, 07648
-12072, -4296, 07592
-12096, -4296, 07408
-12288, -4048, 07344
-12056, -4048, 07256
-12184, -4192, 07760
-12256, -4240, 07560
-11792, -4248, 07592
-12232, -4176, 07536
-12088, -4144, 07576
-12168, -4176, 07400
-12184, -4288, 07808
-12176, -4240, 07704
-12104, -4088, 07544
-12048, -4296, 07832
-12160, -4168, 07504
-12048, -4016, 07792
-11952, -4200, 07224
-12008, -4168, 07504
-12296, -4160, 07680
-12088, -4176, 07272
-12168, -4104, 07488
-12096, -4192, 07632
-12128, -4248, 07560
-11944, -4200, 07752
-12136, -4328, 07416
-11960, -4264, 07520
-11976, -4072, 07600
-12048, -4168, 07280
-11976, -4264, 07560
-12024, -4248, 07664
-12208, -4256, 07336
-11888, -4248, 07504
-12160, -4192, 07304
-11976, -4088, 07472
-11968, -4248, 07840
-12040, -4192, 07648
-11944, -4208, 07688
-11952, -4176, 07480
-12064, -4216, 07712
-12088, -4200, 07448
-12192, -4024, 07544
-12088, -4296, 07232
-12208, -4288, 07704
-12016, -4168, 07632
-12256, -4200, 07448
-12104, -4120, 07744
-12080, -4336, 07632
-12104, -4200, 07656
-12008, -4256, 07424
-12040, -4208, 07496
-12136, -4312, 07512
-12208, -4208, 07440
-12008, -4064, 07248
-12000, -4240, 07896
-12136, -4360, 07560
-12192, -4248, 07552
-11992, -4280, 07816
-12144, -4288, 07640
-12256, -4040, 07680
-12216, -4304, 07576
-12136, -4288, 07592
-12128, -4200, 07912
-12040, -4344, 07712
-12200, -4312, 07512
-12056, -4264, 07456
-11992, -4192, 07536
-12096, -4312, 07720
-12056, -4152, 07728
-12144, -4024, 07600
-12200, -4408, 07440
-11976, -4224, 07152
-12304, -4152, 07712
-12120, -4240, 07504
-12016, -4200, 07544
-12144, -4184, 07600
-11976, -4176, 07408
-12104, -4168, 07448
-12056, -4288, 07600
-12048, -4352, 07424
-12168, -4128, 07568
-12184, -4256, 07216
-12072, -4000, 07800
-12080, -4280, 07600
-12232, -4240, 07480
-11968, -4296, 07528
-12120, -4328, 07480
-12088, -4224, 07400
-11864, -4040, 07552
-12200, -4200, 07680
-12080, -4256, 07792
-12080, -4072, 07400
-12152, -4296, 07568
-12152, -4120, 07608
-12160, -4208, 07480
-12064, -4248, 07696
-12120, -4152, 07952
-12096, -3984, 07848
-12200, -4088, 07704
-11840, -4152, 07648
-12184, -4016, 07384
-12016, -4168, 07632
-12152, -4032, 07864
-12096, -4080, 07688
-12176, -4144, 07760
-12088, -4184, 07520
-11968, -4224, 07888
-12096, -4128, 07584
-12024, -4016, 07752
-12040, -4304, 07856
-11952, -4088, 07744
-12192, -4152, 07824
-12120, -4272, 07368
-11936, -4248, 07544
-12208, -4168, 07520
-12088, -4208, 07672
-12144, -4208, 07488
-12064, -4200, 07872
-12096, -4160, 07576
-12144, -4168, 07632
-12024, -4200, 07656
-12064, -4136, 07544
-12120, -4088, 07664
-12152, -3960, 07576
-12160, -4136, 07392
-12064, -4040, 07672
-12160, -4352, 07712
-12080, -4072, 07664
-12072, -4104, 07584
-12120, -4208, 07544
-12040, -4184, 07368
-11824, -4224, 07656
-12232, -4176, 07664
-12040, -4240, 07440
-12200, -4240, 07560
-12128, -4128, 07584
-12024, -4112, 07552
-12088, -4256, 07544
-12216, -4296, 07520
-12128, -4320, 07632
-11936, -4384, 07416
-12096, -4144, 07560
-12296, -4248, 07536
-12104, -4288, 07720
-12072, -4192, 07608
-12264, -4184, 07440
-12104, -4200, 07552
-12104, -4136, 07792
-12104, -4128, 07416
-12232, -4152, 07640
-12104, -4064, 07272
-12336, -4064, 07432
-12168, -4472, 07608
-12208, -4184, 07144
-12040, -4240, 07416
-12032, -4272, 07408
-12136, -4208, 07280
-12080, -4480, 07696
-12096, -4216, 07408
-12064, -4384, 07520
-12192, -4456, 07808
-12096, -4280, 07296
-12208, -4360, 07760
-12200, -4368, 07480
-12168, -4296, 07224
-12016, -4360, 07456
-12320, -4336, 07448
-12128, -4208, 07056
-12176, -4152, 07432
-12224, -4240, 07480
-12120, -4328, 07512
-12016, -4352, 07440
-12008, -4256, 07168
-12152, -4304, 07472
-12064, -4176, 07320
-12024, -4192, 07608
-12152, -4368, 07336
-12312, -4320, 07176
-11992, -4288, 07440
-12192, -4208, 07456
-12104, -4136, 07272
-12144, -4256, 07448
-12088, -4272, 07480
-12136, -4216, 07416
-12136, -4128, 07416
-12144, -4320, 07560
-12008, -4320, 07480
-12096, -4288, 07608
-12144, -4256, 07104
-12128, -4080, 07288
-12080, -4136, 07392
-12088, -4328, 07680
-12048, -4248, 07200
-12224, -4224, 07448
-12128, -4176, 07448
-12248, -4304, 07544
-12136, -4088, 07472
-12192, -4256, 07368
-12168, -4192, 07456
-12168, -4128, 07504
-12104, -4280, 07472
-12104, -4256, 07584
-12144, -4432, 07416
-12176, -4344, 07432
-12168, -4224, 07368
-12184, -4296, 07712
-12128, -4192, 07416
-12176, -4000, 07496
-12192, -4208, 07552
-12248, -4288, 07424
-12104, -4320, 07488
-12120, -4224, 07272
-12280, -4280, 07368
-12088, -4280, 07432
-12128, -4432, 07400
-12224, -4264, 07488
-12184, -4304, 07376
-12232, -4280, 07216
-12168, -4336, 07520
-12272, -4400, 07552
-12016, -4224, 07280
-11992, -4248, 07248
-12120, -4384, 07424
-12224, -4208, 07264
-12104, -4312, 07536
-12160, -4280, 07376
-12152, -4296, 07472
-12048, -4320, 07448
-12176, -4176, 07448
-12096, -4256, 07632
-12272, -4208, 07552
-12000, -4224, 07192
-12096, -4072, 07504
-12144, -4136, 07944
-11936, -4272, 07536
-12288, -4000, 07392
-12016, -4200, 07400
-12128, -4288, 07552
-12088, -4280, 07816
-12160, -4064, 07480
-12064, -4200, 07560
-12176, -4272, 07496
-12056, -4240, 07496
-12144, -4344, 07120
-12120, -3928, 07664
-12008, -4248, 07584
-12088, -4088, 07472
-12208, -4200, 07736
-12000, -4208, 07560
-12088, -4144, 07320
-12168, -4264, 07632
-12104, -4136, 07592
-12064, -4152, 07456
-12008, -4192, 07496
-12064, -4192, 07528
-12104, -4136, 07912
-12072, -4192, 07592
-12104, -4112, 07440
-12080, -4296, 07536
-12136, -4224, 07600
-12232, -4288, 07648
-12000, -4152, 07544
-12064, -4072, 07368
-12248, -4280, 07640
-12144, -4176, 07496
-12168, -4144, 07672
-12072, -4264, 07592
-12048, -4272, 07400
-12016, -4184, 07456
-12128, -4176, 07272
-11992, -4240, 07616
-12048, -4144, 07632
-12080, -4088, 07424
-11920, -4272, 07672
-12136, -4296, 07816
-12080, -4016, 07456
-11880, -4312, 07712
-12232, -4192, 07592
-12080, -4184, 07376
-12128, -4272, 07512
-12104, -4192, 07728
-12056, -4168, 07496
-12192, -4000, 07592
-12176, -4240, 07296
-12152, -4128, 07456
-12064, -4272, 07640
-11976, -4224, 07280
-12256, -4152, 07480
-12072, -4160, 07528
-12336, -4144, 07408
-12152, -4200, 07424
-12312, -4160, 07272
-12176, -4272, 07512
-12128, -4104, 07504
-12232, -4056, 07472
-12136, -4064, 07368
-12016, -4192, 07504
-12200, -4176, 07632
-12072, -4168, 07384
-12264, -4104, 07480
-11968, -4152, 07352
-12168, -4120, 07648
-12128, -4152, 07648
-12256, -3960, 07504
-12152, -4144, 07456
-12064, -4168, 07408
-12072, -4208, 07544
-12360, -4416, 07944
-12312, -4072, 07296
-12400, -4064, 07264
-12176, -4296, 07840
-12312, -4072, 07344
-12256, -4056, 07360
-12256, -4104, 07456
-12224, -4064, 07344
-12016, -4144, 07592
-12120, -4120, 07472
-12104, -4144, 07640
-12272, -4120, 07400
-12088, -4160, 07584
-12048, -4240, 07152
-12200, -4208, 07112
-12184, -4056, 07472
-12296, -4344, 07808
-12032, -4208, 07328
-12144, -4040, 07360
-12128, -4168, 07328
-12184, -4120, 07496
-12192, -4056, 07560
-12384, -4200, 07472
-12088, -4168, 07400
-12016, -4160, 07448
-12232, -4056, 07392
-12064, -4208, 07592
-12168, -4112, 07488
-12168, -4184, 07304
-12152, -4064, 07600
-12272, -4312, 07704
-12128, -4144, 07648
-12088, -4248, 07592
-12120, -4152, 07400
-12056, -4184, 07456
-12080, -4280, 07592
-12056, -4192, 07408
-12080, -4056, 07408
-12088, -4296, 07560
-12080, -4184, 07704
-12168, -4208, 07480
-12152, -4256, 07720
-12056, -4168, 07296
-12008, -4032, 07720
-12200, -4336, 08096
-11936, -4248, 07416
-12160, -4120, 07552
-11968, -4128, 07456
-12016, -4240, 07416
-12232, -4192, 07616
-12128, -4160, 07528
-12256, -4248, 07352
-12024, -4168, 07424
-12088, -4144, 07496
-12224, -4288, 07744
-12024, -4160, 07616
-12000, -4264, 07472
-12168, -4144, 07712
-12328, -4248, 07528
-12016, -4168, 07504
-12080, -4088, 07600
-11920, -4152, 07648
-12256, -4256, 07480
-12104, -4152, 07680
-12224, -4080, 07512
-12008, -4224, 07592
-12072, -4120, 07544
-11944, -4176, 07720
-12216, -4216, 07232
-12016, -4088, 07616
-12280, -4088, 07536
-12224, -4064, 07728
-11864, -4264, 07456
-12208, -4120, 07608
-12192, -4192, 07648
-12032, -4272, 07800
-12128, -4144, 07488
-12040, -4272, 07472
-11936, -4224, 07448
-11960, -4152, 07544
-12184, -4176, 07304
-12328, -4120, 07176
-11912, -4160, 07504
-12176, -4312, 07520
-12384, -4296, 07512
-11992, -4264, 07440
-12352, -4280, 07656
-12136, -4256, 07512
-12040, -4216, 07520
-12176, -4128, 07472
-12176, -4272, 07600
-12224, -4184, 07488
-12224, -4304, 07696
-12168, -4184, 07344
-12184, -4160, 07552
-12000, -4208, 07280
-12272, -4208, 07416
-12160, -4200, 07616
-12184, -4104, 07280
-12120, -4240, 07440
-12280, -4400, 07304
-12328, -4072, 07456
-12104, -4296, 07520
-12224, -4128, 07528
-12160, -4352, 07432
-12296, -4184, 07448
-12136, -4184, 07352
-12232, -4160, 07552
-12304, -4136, 07552
-12200, -4320, 07520
-11976, -4088, 07304
-12168, -4008, 07568
-12144, -4408, 07384
-12280, -4296, 07344
-12072, -4296, 07480
-12120, -4224, 07440
-12072, -4328, 07504
-12096, -4208, 07440
-12184, -4040, 07560
-12104, -4280, 07680
-12192, -4184, 07112
-12344, -4424, 07448
-12128, -4200, 07424
-12152, -4264, 07512
-12152, -4000, 07144
-12048, -4192, 07392
-12144, -4264, 07392
-12280, -4192, 07528
-12224, -4168, 07424
-12032, -4344, 07632
-12096, -4176, 07528
-12192, -4056, 07200
-12352, -4144, 07352
-12144, -4208, 07248
-12416, -4128, 07248
-12136, -4264, 07440
-12088, -4168, 07360
-12184, -4256, 07384
-12176, -4272, 07352
-12392, -4336, 07320
-12232, -4344, 07432
-12296, -4272, 06952
-12136, -4312, 07560
-12248, -4176, 07368
-12248, -4200, 07280
-12224, -4328, 07456
-12120, -4328, 07240
-12344, -4152, 07216
-12456, -4432, 07184
-11992, -4320, 07064
-12272, -4256, 07304
-12256, -4192, 07424
-12144, -4272, 07080
-12328, -4304, 07456
-12264, -4168, 07328
-12144, -4264, 07640
-12072, -4256, 07192
-12160, -4192, 07232
-12176, -4200, 06880
-12144, -4080, 07352
-12224, -4256, 07536
-12336, -4176, 07392
-12104, -4288, 07648
-12272, -4176, 07232
-12168, -4240, 07208
-12312, -4192, 07368
-12136, -4224, 07552
-12120, -4184, 07536
-12032, -4280, 07152
-11968, -4128, 07360
-12032, -4144, 07520
-12384, -4360, 06912
-12168, -4032, 07568
-12256, -4136, 07400
-12272, -4352, 07208
-12008, -4240, 07584
-12184, -4160, 07328
-12072, -4296, 07376
-12072, -4152, 07448
-12136, -4064, 07488
-12296, -4272, 07456
-12088, -4328, 07608
-12080, -4224, 07352
-12192, -4112, 07472
-11976, -4264, 07016
-12080, -4120, 07248
-12192, -4176, 07592
-12264, -4264, 07424
-12016, -4248, 07432
-12232, -4192, 07392
-12192, -4184, 07416
-12224, -4240, 07288
-12272, -4264, 07688
-12256, -4216, 07552
-12120, -4184, 07552
-12120, -4336, 07648
-12024, -4248, 07528
-12056, -4128, 07520
-12160, -4184, 07280
-12280, -4368, 07136
-12152, -4344, 07680
-12216, -4024, 07456
-12128, -4088, 07136
-12144, -4152, 07512
-12136, -4160, 07536
-12192, -4136, 07768
-12200, -4144, 07648
-11976, -4344, 07512
-12224, -4040, 07440
-12080, -4336, 07448
-12120, -4272, 07208
-12304, -4248, 07376
-12192, -4248, 07584
-12224, -4224, 07512
-12232, -4176, 07432
-12136, -4304, 07416
-12176, -4168, 07416
-12032, -4136, 07376
-12152, -4184, 07304
-12184, -4216, 07440
-12096, -3992, 07376
-12056, -4056, 07488
-12168, -4272, 07304
-12272, -4328, 07184
-11968, -4280, 07568
-12264, -4248, 07544
-12032, -4200, 07256
-12336, -4200, 07536
-12280, -4152, 07512
-12168, -4400, 07488
-12120, -4136, 07600
-12152, -4208, 07376
-12160, -4144, 07344
-11896, -3968, 07528
-12216, -4112, 07200
-12352, -4264, 07360
-11920, -4392, 07528
-12216, -4176, 07328
-12000, -4304, 07600
-12288, -4312, 07376
-12096, -4272, 07384
-12168, -4120, 07376
-11976, -4312, 07392
-12168, -4296, 07488
-12216, -4168, 07232
-12048, -4184, 07680
-12200, -4264, 07448
-12312, -4256, 07480
-12088, -4216, 07512
-12232, -4248, 07504
-12096, -4312, 07384
-12096, -4224, 07376
-12176, -4328, 07608
-12200, -4128, 07200
-12040, -4200, 07424
-12192, -4312, 07376
-12176, -4000, 07456
-12024, -4168, 07648
-12056, -4200, 07416
-12336, -4264, 07392
-12120, -4352, 07584
-12288, -4160, 07560
-12136, -4152, 07336
-12088, -4384, 07536
-12200, -4352, 07648
-12120, -4152, 07472
-12032, -4200, 07256
-12200, -4456, 07496
-12080, -4160, 07256
-12224, -4152, 07336
-12136, -4280, 07736
-12168, -4128, 07512
-12216, -4416, 07128
-12040, -4304, 07480
-12128, -4264, 07656
-12096, -4200, 07304
-12152, -4200, 07256
-12176, -4200, 07408
-12192, -4312, 07560
-12200, -4288, 07392
-12096, -4384, 07640
-12288, -4352, 07216
-12168, -4120, 07400
-12056, -4264, 07704
-12152, -4472, 07336
-12304, -4224, 07184
-12160, -4400, 07632
-12176, -4320, 07560
-12232, -4080, 07136
-12200, -4192, 07456
-12360, -4200, 07424
-12192, -4192, 07400
-12072, -4288, 07392
-12184, -4296, 07424
-12120, -4328, 07472
-12192, -4104, 07424
-12232, -4304, 07512
-12072, -4288, 07320
-12360, -4248, 07440
-12192, -4432, 07728
-12048, -4216, 07184
-12192, -4256, 07320
-12272, -4320, 07272
-12072, -4184, 07616
-12208, -4344, 07552
-12184, -4264, 07392
-12200, -4224, 07408
-12088, -4392, 07528
-12288, -4168, 07520
-11944, -4320, 07592
-12056, -4264, 07736
-12128, -4280, 07792
-12064, -4432, 07616
-11896, -4152, 07480
-12248, -4216, 07200
-12168, -4128, 07496
-12080, -4160, 07408
-12264, -4312, 07536
-12032, -4200, 07728
-12200, -3960, 07664
-12040, -4264, 07640
-12120, -4152, 07496
-12192, -4328, 07736
-12296, -4088, 07472
-11904, -4120, 07840
-12072, -4176, 07736
-11824, -4144, 07696
-12216, -4208, 07728
-12000, -4088, 07408
-12064, -4064, 07576
-12104, -4048, 07656
-12088, -3976, 07816
-12120, -4152, 07800
-12056, -4152, 07736
-12224, -3976, 07912
-12032, -3800, 07752
-12128, -4072, 07400
-12064, -4064, 07480
-12432, -4168, 07672
-12088, -3944, 07760
-12128, -4088, 07888
-11960, -4080, 07760
-12120, -3992, 07728
-12136, -4072, 07576
-12080, -4144, 07688
-12160, -3976, 07768
-12128, -4088, 07512
-12072, -4048, 07448
-11944, -4088, 07560
-12304, -4032, 07768
-12272, -4288, 07448
-12016, -4200, 07528
-12288, -3968, 07328
-12176, -4128, 07608
-12064, -4152, 07400
-12296, -4160, 07632
-11944, -4192, 07696
-12096, -4072, 07240
-12248, -4168, 07544
-12288, -4176, 07656
-11992, -3864, 07544
-12280, -3944, 07696
-12272, -4328, 07240
-12152, -4112, 07504
-12216, -4136, 07440
-12152, -4296, 07424
-12008, -4256, 07304
-12160, -4144, 07488
-12392, -4176, 07512
-12160, -4128, 07424
-12120, -4168, 07584
-12336, -4208, 06808
-12168, -4288, 07616
-12160, -4080, 07488
-12392, -4144, 07288
-12104, -4208, 07336
-12304, -4104, 07176
-12264, -4240, 07288
-12192, -4160, 07672
