13,00302,06,-0010,-0034
-14127,00338,05616,-0023,00036,-0018
-14110,00321,05623,-0023,00032,-0018
-14108,00317,05614,-0023,00024,-0020
-14112,00314,05580,-0020,00008,-0024
-14113,00307,05581,-0020,-0002,-0026
-14113,00299,05598,-0015,-0004,-0029
-14116,00303,05589,-0005,00004,-0028
-14121,00305,05568,-0002,00002,-0032
-14128,00307,05560,-0006,00002,-0032
-14132,00306,05565,-0007,00006,-0033
-14137,00302,05568,00000,00008,-0029
-14135,00299,05564,00005,00004,-0027
-14131,00304,05568,00000,00000,-0027
-14128,00312,05585,-0001,-0002,-0026
-14126,00315,05610,00005,00002,-0027
-14120,00316,05636,00001,00010,-0025
-14113,00327,05656,00003,00018,-0025
-14109,00336,05669,00001,00022,-0021
-14104,00343,05668,-0002,00026,-0021
-14101,00350,05663,-0003,00034,-0022
-14109,00365,05662,-0008,00030,-0022
-14117,00380,05650,-0010,00020,-0019
-14120,00390,05630,-0010,00014,-0018
-14117,00402,05625,-0011,00010,-0018
-14108,00403,05625,-0010,00012,-0018
-14104,00408,05633,-0013,00018,-0010
-14098,00408,05637,-0013,00022,-0008
-14099,00402,05632,-0012,00018,-0013
-14095,00399,05634,-0016,00016,-0016
-14095,00396,05632,-0017,00014,-0017
-14096,00396,05633,-0018,00012,-0013
-14097,00386,05644,-0019,00014,-0019
-14100,00378,05645,-0019,00016,-0024
-14103,00372,05640,-0020,00014,-0023
-14108,00365,05632,-0015,00014,-0024
-14111,00362,05635,-0014,00012,-0027
-14119,00355,05638,-0019,00012,-0023
-14118,00343,05645,-0016,00012,-0025
-14126,00335,05652,-0014,00010,-0025
-14129,00331,05663,-0014,00010,-0022
-14132,00325,05665,-0013,00012,-0022
-14132,00317,05670,-0014,00012,-0022
-14132,00318,05667,-0014,00010,-0024
-14139,00316,05662,-0012,00008,-0023
-14142,00317,05656,-0013,00006,-0024
-14143,00324,05653,-0014,00006,-0024
-14138,00329,05653,-0012,00008,-0023
-14140,00333,05649,-0014,00006,-0020
-14134,00339,05649,-0014,00008,-0020
-14128,00344,05650,-0015,00010,-0018
-14121,00354,05644,-0017,00014,-0018
-14118,00357,05639,-0015,00012,-0021
-14115,00364,05639,-0013,00014,-0016
-14107,00369,05629,-0013,00018,-0016
-14099,00371,05625,-0016,00022,-0019
-14094,00376,05626,-0014,00024,-0018
-14092,00379,05626,-0014,00026,-0018
-14091,00382,05624,-0015,00032,-0017
-14087,00384,05619,-0013,00030,-0016
-14084,00380,05620,-0013,00034,-0016
-14081,00375,05624,-0016,00036,-0017
-14077,00375,05623,-0017,00040,-0016
-14079,00367,05621,-0017,00040,-0019
-14079,00359,05632,-0015,00042,-0017
-14083,00354,05639,-0017,00042,-0020
-14084,00348,05630,-0017,00044,-0018
-14087,00341,05630,-0016,00044,-0019
-14093,00338,05629,-0017,00040,-0019
-14096,00333,05625,-0015,00042,-0023
-14103,00325,05616,-0016,00040,-0020
-14109,00324,05614,-0015,00038,-0023
-14116,00321,05613,-0014,00034,-0021
-14121,00320,05606,-0014,00034,-0019
-14127,00319,05603,-0013,00032,-0025
-14129,00321,05612,-0015,00028,-0021
-14129,00322,05610,-0014,00030,-0022
-14134,00330,05598,-0015,00028,-0023
-14134,00340,05597,-0013,00032,-0022
-14133,00344,05600,-0014,00032,-0025
-14134,00353,05594,-0013,00032,-0023
-14128,00359,05579,-0014,00030,-0024
-14128,00365,05572,-0012,00030,-0024
-14124,00378,05564,-0016,00028,-0024
-14120,00383,05567,-0013,00026,-0026
-14117,00386,05565,-0016,00026,-0025
-14111,00388,05564,-0013,00026,-0025
-14115,00389,05561,-0012,00026,-0026
-14113,00390,05559,-0012,00026,-0024
-14113,00388,05561,-0013,00026,-0024
-14109,00389,05566,-0015,00032,-0026
-14107,00388,05569,-0016,00032,-0023
-14105,00391,05575,-0016,00034,-0026
-14109,00395,05577,-0016,00036,-0022
-14108,00392,05580,-0015,00034,-0025
-14110,00386,05586,-0017,00034,-0023
-14111,00387,05596,-0016,00032,-0024
-14119,00378,05594,-0017,00032,-0022
-14119,00375,05597,-0019,00030,-0021
-14121,00370,05593,-0018,00032,-0021
-14123,00369,05591,-0020,00032,-0021
-14126,00371,05589,-0022,00036,-0020
-14128,00370,05587,-0021,00034,-0020
-14130,00368,05584,-0020,00032,-0019
-14128,00365,05582,-0016,00032,-0018
-14127,00363,05579,-0010,00034,-0020
-14127,00360,05579,-0011,00034,-0021
-14129,00362,05586,-0010,00034,-0019
-14134,00359,05590,-0011,00032,-0020
-14138,00360,05595,-0008,00028,-0022
-14135,00361,05611,-0009,00026,-0021
-14132,00363,05619,-0008,00026,-0023
-14130,00362,05618,-0006,00022,-0024
-14131,00361,05611,-0005,00016,-0025
-14132,00360,05605,-0008,00010,-0024
-14135,00357,05594,-0005,00006,-0025
-14138,00363,05579,-0006,00004,-0026
-14147,00362,05561,-0008,00008,-0027
-14154,00369,05550,-0011,00014,-0024
-14165,00373,05545,-0009,00018,-0026
-14179,00377,05554,-0011,00016,-0025
-14187,00383,05583,-0010,00006,-0023
-14176,00378,05623,-0014,00000,-0026
-14155,00371,05652,-0014,00006,-0025
-14133,00363,05653,-0015,00020,-0025
-14108,00350,05629,-0013,00046,-0024
-14094,00352,05563,-0008,00066,-0022
-14091,00352,05456,00001,00064,-0022
-14103,00353,05423,00001,00054,-0023
-14102,00350,05438,-0003,00052,-0022
-14092,00356,05475,00002,00060,-0019
-14081,00365,05504,-0002,00062,-0017
-14068,00381,05547,-0009,00054,-0014
-14059,00395,05573,-0012,00048,-0013
-14054,00412,05581,-0011,00038,-0011
-14058,00414,05584,-0018,00022,-0014
-14063,00405,05588,-0022,00012,-0019
-14082,00388,05601,-0021,00008,-0023
-14105,00365,05606,-0019,00016,-0028
-14130,00343,05614,-0018,00024,-0029
-14155,00323,05614,-0017,00022,-0034
-14182,00309,05617,-0014,00020,-0037
-14212,00303,05623,-0017,00018,-0037
-14233,00305,05620,-0020,00008,-0034
-14253,00306,05594,-0024,-0004,-0030
-14270,00317,05578,-0028,-0014,-0030
-14277,00333,05565,-0026,-0020,-0027
-14280,00350,05556,-0024,-0014,-0026
-14268,00363,05554,-0018,-0006,-0026
-14245,00368,05547,-0012,00000,-0021
-14207,00375,05539,-0012,00008,-0019
-14170,00377,05544,-0015,00016,-0020
-14132,00389,05552,-0013,00018,-0017
-14093,00399,05562,-0014,00024,-0014
-14062,00405,05576,-0016,00026,-0012
-14033,00405,05579,-0015,00034,-0012
-14009,00400,05581,-0014,00038,-0008
-13995,00395,05583,-0014,00042,-0007
-13990,00395,05574,-0015,00050,-0008
-13994,00399,05566,-0012,00056,-0007
-14003,00397,05558,-0011,00058,-0007
-14013,00400,05543,-0011,00058,-0007
-14031,00402,05535,-0011,00056,-0012
-14056,00395,05528,-0010,00054,-0014
-14083,00394,05537,-0015,00048,-0015
-14111,00390,05528,-0015,00042,-0016
