-15227,-2227,-446,-15,35,-22
-15228,-2226,-444,-11,35,-18
-15236,-2224,-439,-11,39,-17
-15239,-2222,-447,-14,45,-15
-15238,-2221,-460,-24,53,-16
-15231,-2225,-466,-32,63,-19
-15222,-2227,-462,-42,69,-17
-15219,-2226,-448,-41,73,-22
-15220,-2228,-412,-27,57,-22
-15235,-2227,-345,20,19,-23
-15250,-2223,-301,75,-41,-22
-15247,-2214,-280,121,-91,-23
-15235,-2201,-292,146,-103,-22
-15215,-2193,-347,121,-83,-20
-15191,-2186,-447,55,-27,-19
-15182,-2196,-558,-37,41,-20
-15180,-2208,-665,-128,93,-20
-15188,-2221,-693,-163,117,-15
-15202,-2224,-627,-86,107,-21
-15217,-2215,-556,21,65,-20
-15216,-2202,-524,84,33,-20
-15195,-2187,-504,95,31,-13
-15169,-2168,-495,73,37,-10
-15156,-2160,-485,40,37,-10
-15149,-2164,-462,19,39,-10
-15143,-2170,-460,2,35,-12
-15136,-2178,-458,-4,23,-15
-15131,-2189,-462,-7,33,-19
-15145,-2212,-461,-15,55,-16
-15162,-2228,-432,-17,67,-16
-15177,-2245,-417,-10,61,-16
-15188,-2261,-404,-3,41,-13
-15194,-2268,-386,-4,25,-14
-15200,-2267,-367,0,7,-18
-15214,-2267,-342,2,1,-18
-15232,-2272,-323,3,-3,-20
-15244,-2271,-320,1,-13,-17
-15254,-2274,-322,5,-21,-19
-15256,-2274,-331,-1,-33,-20
-15259,-2269,-344,-1,-21,-13
-15256,-2262,-370,-7,-9,-12
-15250,-2258,-413,-15,9,-12
-15246,-2251,-462,-28,17,-13
-15240,-2241,-510,-37,27,-12
-15229,-2228,-549,-41,41,-9
-15225,-2220,-580,-41,53,-13
-15220,-2217,-605,-43,69,-10
-15208,-2210,-627,-43,81,-12
-15195,-2206,-629,-48,87,-10
-15180,-2197,-629,-53,99,-9
-15171,-2198,-628,-54,105,-8
-15163,-2198,-609,-55,113,-7
-15160,-2196,-599,-54,121,-11
-15164,-2199,-578,-54,117,-13
-15168,-2209,-567,-57,107,-14
-15176,-2224,-553,-59,103,-16
-15181,-2233,-534,-59,97,-14
-15189,-2242,-527,-59,87,-19
-15196,-2253,-517,-60,79,-20
-15202,-2261,-517,-57,75,-22
-15210,-2263,-513,-55,73,-24
-15215,-2268,-505,-51,69,-23
-15214,-2271,-502,-49,69,-25
-15223,-2273,-508,-47,66,-26
-15227,-2266,-510,-49,62,-27
-15227,-2261,-511,-48,56,-27
-15224,-2255,-520,-44,50,-30
-15220,-2248,-525,-46,48,-31
-15223,-2238,-532,-43,40,-32
-15221,-2232,-537,-41,36,-29
-15215,-2222,-543,-36,34,-30
-15212,-2217,-550,-35,32,-29
-15206,-2211,-540,-32,28,-25
-15204,-2202,-544,-29,28,-26
-15200,-2203,-550,-27,26,-23
-15204,-2202,-557,-24,22,-19
-15206,-2200,-570,-15,16,-19
-15216,-2198,-590,-10,12,-23
-15221,-2197,-599,0,6,-21
-15225,-2197,-605,7,2,-22
-15225,-2201,-614,12,0,-27
-15217,-2200,-626,21,-2,-25
-15214,-2206,-641,21,2,-26
-15205,-2209,-655,21,4,-23
-15189,-2217,-660,23,8,-27
-15179,-2222,-683,29,12,-26
-15167,-2232,-706,24,16,-31
-15153,-2240,-729,19,24,-33
-15137,-2250,-752,16,34,-39
-15122,-2258,-741,10,50,-43
-15112,-2262,-712,7,66,-46
-15106,-2271,-661,24,70,-52
-15099,-2272,-580,49,64,-59
-15111,-2264,-571,74,30,-61
-15116,-2262,-597,51,-10,-65
-15123,-2266,-602,27,-14,-65
