 x, y, z
01184, 02240, 15760
01240, 02048, 15792
01088, 02096, 15792
01216, 02144, 15808
01232, 02232, 15968
01304, 02040, 16016
01344, 02160, 15984
01240, 02088, 16248
01032, 02240, 16008
01344, 02112, 15696
01088, 02184, 15824
01000, 02152, 15904
01256, 02080, 15944
01176, 02160, 15640
01176, 02152, 15912
01144, 02224, 15920
01344, 02064, 15880
01176, 02032, 15960
01184, 02104, 15848
01280, 02128, 16000
01304, 02192, 15848
01208, 02168, 15840
01384, 02088, 15848
01360, 02088, 15944
01072, 02248, 16048
01312, 02136, 15904
01088, 02224, 15904
01176, 02136, 15608
01264, 02296, 15912
01240, 02152, 16064
01224, 02176, 16016
01152, 02128, 15792
01216, 02064, 15736
01232, 02200, 15936
01136, 02144, 15920
01184, 02088, 16048
01224, 02104, 15848
01208, 01960, 15720
01144, 02104, 15960
01160, 02144, 15696
01152, 02168, 16064
01216, 02224, 16016
01200, 02192, 15968
01216, 02080, 15928
01200, 02112, 16024
01392, 02160, 16000
01144, 02136, 15832
01208, 02136, 15824
01216, 02096, 16056
01032, 02096, 16096
01176, 02080, 15680
01088, 02024, 16000
01088, 02184, 15728
01152, 02184, 15864
01240, 02200, 15968
01256, 02136, 15880
01216, 02096, 15784
01136, 02040, 16000
01096, 02136, 16048
01168, 01944, 16008
01064, 02064, 15880
01200, 02016, 16056
01160, 02016, 15872
01352, 02064, 16080
01152, 01992, 15864
01288, 02160, 16000
01224, 02152, 15912
01192, 02008, 16088
01096, 02160, 15880
01112, 02088, 16032
01192, 02064, 15888
01280, 02064, 15696
01232, 01944, 16024
01288, 02064, 16024
01136, 02032, 15928
01240, 01976, 15744
01160, 02112, 15728
01208, 02112, 15904
01104, 02224, 16008
01280, 02008, 16144
01264, 02136, 15912
01368, 02184, 15880
01192, 02096, 15992
01192, 02112, 16024
01216, 02080, 15992
01168, 02088, 15824
01080, 02120, 16000
01112, 02192, 15928
01216, 02128, 15840
01048, 02048, 16032
01160, 02048, 16008
01176, 02104, 16080
01104, 02272, 15920
01304, 02040, 15760
01272, 02144, 15912
01288, 02152, 16088
01080, 02120, 15744
01208, 02096, 16000
01168, 02304, 15992
01296, 02032, 16120
01320, 02216, 16016
01112, 02064, 15792
01216, 02216, 15816
01112, 02096, 16080
01192, 02056, 15880
01152, 02112, 15696
01328, 02176, 16048
01320, 02128, 15888
01056, 02144, 15968
01104, 02088, 15744
01192, 02104, 15848
01112, 02120, 15968
01064, 02080, 15920
01112, 02000, 15824
